Actual,Predicted
94.00000000000001,99.26091
93.0,99.17148
94.00000000000001,99.076935
94.00000000000001,98.981316
95.00000000000001,98.888466
95.00000000000001,98.799
95.00000000000001,98.70451
95.00000000000001,98.60884
96.99999999999999,98.516014
96.99999999999999,98.426575
99.0,98.332054
99.0,98.236435
99.0,98.14363
99.0,98.054245
99.0,97.95977
99.0,97.86425
99.0,97.77149
99.0,97.68221
99.0,97.587776
99.0,97.492325
99.0,97.39969
99.0,97.3105
99.0,97.21619
99.0,97.12085
99.0,97.02835
99.0,96.939285
99.0,96.84513
99.0,96.749916
99.0,96.65785
99.0,96.5695
99.0,96.47443
99.0,96.38251
99.0,96.29429
99.0,96.19938
99.0,96.10734
99.0,96.01877
99.0,95.92507
99.0,95.83037
99.0,95.73855
99.0,95.65024
99.0,95.55678
99.0,95.46234
99.0,95.37082
99.0,95.28275
99.0,95.18959
99.0,95.09543
99.0,95.00421
99.0,94.91648
99.0,94.82361
99.0,94.72982
97.99999999999999,94.63892
97.99999999999999,94.55149
99.0,94.45899
99.0,94.36553
99.0,94.275
99.0,94.18797
99.0,94.09583
99.0,94.00276
99.0,93.912674
99.0,93.82601
99.0,93.7343
99.0,93.64165
99.0,93.55196
99.0,93.46576
99.0,93.37446
99.0,93.28229
99.0,93.193085
99.0,93.10731
99.0,93.01652
99.0,92.92485
99.0,92.83613
99.0,92.75084
99.0,92.66054
99.0,92.56938
99.0,92.48117
99.0,92.39643
99.0,92.30669
99.0,92.21609
99.0,92.12845
99.0,92.044235
99.0,91.95505
99.0,91.86504
100.0,91.778
100.0,91.69435
100.0,91.60579
99.0,91.51641
99.0,91.42997
97.99999999999999,91.346954
97.99999999999999,91.259
97.99999999999999,91.17029
96.99999999999999,91.08448
96.99999999999999,91.002106
96.99999999999999,90.914795
96.99999999999999,90.82674
96.99999999999999,90.74163
97.99999999999999,90.659904
97.99999999999999,90.5733
96.99999999999999,90.48599
96.99999999999999,90.401566
96.00000000000001,90.32052
95.00000000000001,90.23464
95.00000000000001,90.148056
95.00000000000001,90.064575
94.00000000000001,89.98464
94.00000000000001,89.898605
94.00000000000001,89.8155
95.00000000000001,89.73572
95.00000000000001,89.65117
95.00000000000001,89.56591
92.0,89.48358
90.0,89.40455
90.0,89.32079
88.0,89.23637
88.0,89.15484
86.0,89.07659
84.0,88.99364
